Theta Phi E_field
0.0 0.0 0.0014529969838313964
0.0 2.0 0.0014529969838313964
0.0 4.0 0.0014529969838313964
0.0 6.0 0.0014529969838313964
0.0 8.0 0.0014529969838313964
0.0 10.0 0.0014529969838333247
0.0 12.0 0.0014529969838333247
0.0 14.0 0.0014529969838313964
0.0 16.0 0.0014529969838313964
0.0 18.0 0.0014529969838333247
0.0 20.0 0.0014529969838333247
0.0 22.0 0.0014529969838313964
0.0 24.0 0.0014529969838333247
0.0 26.0 0.0014529969838313964
0.0 28.0 0.0014529969838313964
0.0 30.0 0.0014529969838313964
0.0 32.0 0.0014529969838313964
0.0 34.0 0.0014529969838333247
0.0 36.0 0.0014529969838313964
0.0 38.0 0.0014529969838313964
0.0 40.0 0.0014529969838313964
0.0 42.0 0.0014529969838313964
0.0 44.0 0.0014529969838313964
0.0 46.0 0.0014529969838313964
0.0 48.0 0.0014529969838313964
0.0 50.0 0.0014529969838313964
0.0 52.0 0.0014529969838313964
0.0 54.0 0.0014529969838313964
0.0 56.0 0.0014529969838333247
0.0 58.0 0.0014529969838352529
0.0 60.0 0.0014529969838313964
0.0 62.0 0.0014529969838313964
0.0 64.0 0.0014529969838313964
0.0 66.0 0.0014529969838333247
0.0 68.0 0.0014529969838313964
0.0 70.0 0.0014529969838313964
0.0 72.0 0.0014529969838313964
0.0 74.0 0.0014529969838313964
0.0 76.0 0.0014529969838313964
0.0 78.0 0.0014529969838313964
0.0 80.0 0.0014529969838313964
0.0 82.0 0.0014529969838333247
0.0 84.0 0.0014529969838313964
0.0 86.0 0.0014529969838313964
0.0 88.0 0.0014529969838313964
0.0 90.0 0.0014529969838313964
0.0 92.0 0.0014529969838313964
0.0 94.0 0.0014529969838294678
0.0 96.0 0.0014529969838313964
0.0 98.0 0.0014529969838313964
0.0 100.0 0.0014529969838313964
0.0 102.0 0.0014529969838313964
0.0 104.0 0.0014529969838313964
0.0 106.0 0.0014529969838313964
0.0 108.0 0.0014529969838313964
0.0 110.0 0.0014529969838313964
0.0 112.0 0.0014529969838313964
0.0 114.0 0.0014529969838333247
0.0 116.0 0.0014529969838333247
0.0 118.0 0.0014529969838313964
0.0 120.0 0.0014529969838313964
0.0 122.0 0.0014529969838313964
0.0 124.0 0.0014529969838313964
0.0 126.0 0.0014529969838294678
0.0 128.0 0.0014529969838313964
0.0 130.0 0.0014529969838333247
0.0 132.0 0.0014529969838313964
0.0 134.0 0.0014529969838313964
0.0 136.0 0.0014529969838352529
0.0 138.0 0.0014529969838313964
0.0 140.0 0.0014529969838313964
0.0 142.0 0.0014529969838294678
0.0 144.0 0.0014529969838313964
0.0 146.0 0.0014529969838333247
0.0 148.0 0.0014529969838313964
0.0 150.0 0.0014529969838313964
0.0 152.0 0.0014529969838313964
0.0 154.0 0.0014529969838333247
0.0 156.0 0.0014529969838333247
0.0 158.0 0.0014529969838294678
0.0 160.0 0.0014529969838313964
0.0 162.0 0.0014529969838333247
0.0 164.0 0.0014529969838313964
0.0 166.0 0.0014529969838313964
0.0 168.0 0.0014529969838333247
0.0 170.0 0.0014529969838313964
0.0 172.0 0.0014529969838313964
0.0 174.0 0.0014529969838313964
0.0 176.0 0.0014529969838313964
0.0 178.0 0.0014529969838333247
0.0 180.0 0.0014529969838313964
0.0 182.0 0.0014529969838313964
0.0 184.0 0.0014529969838313964
0.0 186.0 0.0014529969838313964
0.0 188.0 0.0014529969838352529
0.0 190.0 0.0014529969838313964
0.0 192.0 0.0014529969838333247
0.0 194.0 0.0014529969838333247
0.0 196.0 0.0014529969838313964
0.0 198.0 0.0014529969838313964
0.0 200.0 0.0014529969838333247
0.0 202.0 0.0014529969838333247
0.0 204.0 0.0014529969838333247
0.0 206.0 0.0014529969838313964
0.0 208.0 0.0014529969838333247
0.0 210.0 0.0014529969838333247
0.0 212.0 0.0014529969838333247
0.0 214.0 0.0014529969838313964
0.0 216.0 0.0014529969838333247
0.0 218.0 0.0014529969838333247
0.0 220.0 0.0014529969838313964
0.0 222.0 0.0014529969838313964
0.0 224.0 0.0014529969838333247
0.0 226.0 0.0014529969838333247
0.0 228.0 0.0014529969838333247
0.0 230.0 0.0014529969838313964
0.0 232.0 0.0014529969838313964
0.0 234.0 0.0014529969838333247
0.0 236.0 0.0014529969838333247
0.0 238.0 0.0014529969838313964
0.0 240.0 0.0014529969838333247
0.0 242.0 0.0014529969838313964
0.0 244.0 0.0014529969838313964
0.0 246.0 0.0014529969838333247
0.0 248.0 0.0014529969838313964
0.0 250.0 0.0014529969838313964
0.0 252.0 0.0014529969838313964
0.0 254.0 0.0014529969838313964
0.0 256.0 0.0014529969838313964
0.0 258.0 0.0014529969838333247
0.0 260.0 0.0014529969838313964
0.0 262.0 0.0014529969838333247
0.0 264.0 0.0014529969838313964
0.0 266.0 0.0014529969838313964
0.0 268.0 0.0014529969838313964
0.0 270.0 0.0014529969838313964
0.0 272.0 0.0014529969838313964
0.0 274.0 0.0014529969838352529
0.0 276.0 0.0014529969838313964
0.0 278.0 0.0014529969838313964
0.0 280.0 0.0014529969838313964
0.0 282.0 0.0014529969838352529
0.0 284.0 0.0014529969838352529
0.0 286.0 0.0014529969838313964
0.0 288.0 0.0014529969838313964
0.0 290.0 0.0014529969838333247
0.0 292.0 0.0014529969838313964
0.0 294.0 0.0014529969838313964
0.0 296.0 0.0014529969838313964
0.0 298.0 0.0014529969838313964
0.0 300.0 0.0014529969838313964
0.0 302.0 0.0014529969838294678
0.0 304.0 0.0014529969838333247
0.0 306.0 0.0014529969838313964
0.0 308.0 0.0014529969838333247
0.0 310.0 0.0014529969838313964
0.0 312.0 0.0014529969838313964
0.0 314.0 0.0014529969838313964
0.0 316.0 0.0014529969838313964
0.0 318.0 0.0014529969838313964
0.0 320.0 0.0014529969838313964
0.0 322.0 0.0014529969838313964
0.0 324.0 0.0014529969838313964
0.0 326.0 0.0014529969838313964
0.0 328.0 0.0014529969838313964
0.0 330.0 0.0014529969838313964
0.0 332.0 0.0014529969838313964
0.0 334.0 0.0014529969838313964
0.0 336.0 0.0014529969838333247
0.0 338.0 0.0014529969838313964
0.0 340.0 0.0014529969838313964
0.0 342.0 0.0014529969838294678
0.0 344.0 0.0014529969838313964
0.0 346.0 0.0014529969838313964
0.0 348.0 0.0014529969838313964
0.0 350.0 0.0014529969838313964
0.0 352.0 0.0014529969838352529
0.0 354.0 0.0014529969838313964
0.0 356.0 0.0014529969838313964
0.0 358.0 0.0014529969838313964
5.0 0.0 -0.9397942495462805
5.0 2.0 -0.9326899069228411
5.0 4.0 -0.9257407469910117
5.0 6.0 -0.9189670838328838
5.0 8.0 -0.912389604349605
5.0 10.0 -0.9060292815582558
5.0 12.0 -0.8999072414250755
5.0 14.0 -0.8940445857555945
5.0 16.0 -0.8884621752893858
5.0 18.0 -0.8831803785899801
5.0 20.0 -0.8782187935347275
5.0 22.0 -0.873595949163106
5.0 24.0 -0.8693289963132622
5.0 26.0 -0.8654333958559757
5.0 28.0 -0.8619226134241924
5.0 30.0 -0.8588078293457879
5.0 32.0 -0.8560976720377778
5.0 34.0 -0.85379798243933
5.0 36.0 -0.8519116161816711
5.0 38.0 -0.8504382891527962
5.0 40.0 -0.8493744709525636
5.0 42.0 -0.8487133294902958
5.0 44.0 -0.8484447286909107
5.0 46.0 -0.8485552799854865
5.0 48.0 -0.8490284470024871
5.0 50.0 -0.8498447016784598
5.0 52.0 -0.8509817288995504
5.0 54.0 -0.852414675790838
5.0 56.0 -0.854116440907992
5.0 58.0 -0.8560579978693548
5.0 60.0 -0.8582087474047918
5.0 62.0 -0.8605368913959272
5.0 64.0 -0.8630098222395284
5.0 66.0 -0.8655945207783329
5.0 68.0 -0.8682579561022814
5.0 70.0 -0.8709674807165808
5.0 72.0 -0.8736912148862542
5.0 74.0 -0.8763984143829604
5.0 76.0 -0.8790598163608837
5.0 78.0 -0.8816479586557467
5.0 80.0 -0.8841374684161353
5.0 82.0 -0.8865053166230598
5.0 84.0 -0.8887310357161605
5.0 86.0 -0.8907968982115557
5.0 88.0 -0.8926880548558653
5.0 90.0 -0.8943926315072286
5.0 92.0 -0.8959017845604578
5.0 94.0 -0.8972097153375438
5.0 96.0 -0.8983136444429175
5.0 98.0 -0.8992137476331254
5.0 100.0 -0.8999130552696653
5.0 102.0 -0.9004173179068385
5.0 104.0 -0.9007348410074799
5.0 106.0 -0.9008762921699027
5.0 108.0 -0.9008544845793294
5.0 110.0 -0.9006841406555776
