r(m), theta(rad), phi(rad), E(Re), E(Im), H(Re), H(Im)
0.300000, 1.759292, 0.565487, 0.017890, 0.007387, 0.000045, 0.000004
0.300000, 1.759292, 0.534071, 0.016254, 0.008202, 0.000040, 0.000009
0.300000, 1.759292, 0.502655, 0.014533, 0.010062, 0.000035, 0.000015
0.300000, 1.759292, 0.471239, 0.012970, 0.012967, 0.000030, 0.000024
0.300000, 1.759292, 0.439823, 0.011620, 0.016726, 0.000025, 0.000035
0.300000, 1.759292, 0.408407, 0.010497, 0.020977, 0.000022, 0.000047
0.300000, 1.759292, 0.376991, 0.009881, 0.025301, 0.000020, 0.000059
0.300000, 1.759292, 0.345575, 0.010441, 0.029325, 0.000022, 0.000070
0.300000, 1.759292, 0.314159, 0.012744, 0.032783, 0.000030, 0.000080
0.300000, 1.759292, 0.282743, 0.016771, 0.035484, 0.000042, 0.000087
0.300000, 1.759292, 0.251327, 0.022262, 0.037227, 0.000057, 0.000092
0.300000, 1.759292, 0.219911, 0.029020, 0.037709, 0.000076, 0.000094
0.300000, 1.759292, 0.188496, 0.036823, 0.036475, 0.000097, 0.000091
0.300000, 1.759292, 0.157080, 0.045244, 0.032973, 0.000119, 0.000082
0.300000, 1.759292, 0.125664, 0.053528, 0.026704, 0.000141, 0.000065
0.300000, 1.759292, 0.094248, 0.060589, 0.017455, 0.000159, 0.000041
0.300000, 1.759292, 0.062832, 0.065136, 0.005835, 0.000171, 0.000010
0.300000, 1.759292, 0.031416, 0.065917, 0.009583, 0.000173, 0.000030
0.300000, 0.000000, 0.000000, 0.062013, 0.024102, 0.000162, 0.000068
0.300000, 0.000000, 3.141593, 0.029329, 0.045003, 0.000068, 0.000116
0.300000, 1.822124, 3.110177, 0.010856, 0.049535, 0.000019, 0.000129
0.300000, 1.822124, 3.078761, 0.008144, 0.047235, 0.000028, 0.000123
0.300000, 1.822124, 3.047345, 0.022372, 0.039588, 0.000067, 0.000104
0.300000, 1.822124, 3.015929, 0.032511, 0.028657, 0.000094, 0.000076
0.300000, 1.822124, 2.984513, 0.038053, 0.016518, 0.000109, 0.000044
0.300000, 1.822124, 2.953097, 0.039524, 0.005025, 0.000113, 0.000015
0.300000, 1.822124, 2.921681, 0.037860, 0.006143, 0.000109, 0.000016
0.300000, 1.822124, 2.890265, 0.034049, 0.014416, 0.000099, 0.000037
0.300000, 1.822124, 2.858849, 0.028917, 0.020860, 0.000085, 0.000054
0.300000, 1.822124, 2.827433, 0.023086, 0.025423, 0.000070, 0.000065
0.300000, 1.822124, 2.796017, 0.017076, 0.028191, 0.000054, 0.000072
0.300000, 1.822124, 2.764602, 0.011519, 0.029240, 0.000038, 0.000075
0.300000, 1.822124, 2.733186, 0.007558, 0.028688, 0.000025, 0.000073
0.300000, 1.822124, 2.701770, 0.006783, 0.026785, 0.000016, 0.000068
0.300000, 1.822124, 2.670354, 0.008191, 0.023954, 0.000015, 0.000060
0.300000, 1.822124, 2.638938, 0.009420, 0.020748, 0.000017, 0.000051
0.300000, 1.822124, 2.607522, 0.009675, 0.017706, 0.000016, 0.000043
0.300000, 1.822124, 2.576106, 0.009074, 0.015192, 0.000015, 0.000036
0.300000, 1.822124, 2.544690, 0.008100, 0.013346, 0.000012, 0.000031
0.300000, 1.822124, 2.513274, 0.007261, 0.012193, 0.000011, 0.000028
0.300000, 1.822124, 2.481858, 0.006772, 0.011762, 0.000011, 0.000026
0.300000, 1.822124, 2.450442, 0.006540, 0.011984, 0.000010, 0.000026
0.300000, 1.822124, 2.419026, 0.006524, 0.012540, 0.000009, 0.000027
0.300000, 1.822124, 2.387610, 0.006919, 0.012957, 0.000008, 0.000028
0.300000, 1.822124, 2.356194, 0.007870, 0.012845, 0.000010, 0.000028
0.300000, 1.822124, 2.324779, 0.009156, 0.012028, 0.000014, 0.000025
0.300000, 1.822124, 2.293363, 0.010344, 0.010571, 0.000018, 0.000022
0.300000, 1.822124, 2.261947, 0.011059, 0.008739, 0.000020, 0.000017
0.300000, 1.822124, 2.230531, 0.011096, 0.006939, 0.000020, 0.000013
0.300000, 1.822124, 2.199115, 0.010442, 0.005615, 0.000018, 0.000012
0.300000, 1.822124, 2.167699, 0.009248, 0.005005, 0.000015, 0.000013
0.300000, 1.822124, 2.136283, 0.007802, 0.004884, 0.000011, 0.000015
