r(m), theta(rad), phi(rad), E(Re), E(Im), H(Re), H(Im)
0.300000, 0.000000, 3.141593, 0.029329, 0.045003, 0.000068, 0.000116
0.300000, 3.141593, 3.110177, 0.041883, 0.028601, 0.000119, 0.000074
0.300000, 3.141593, 3.078761, 0.042876, 0.040930, 0.000122, 0.000108
0.300000, 3.141593, 3.047345, 0.022361, 0.058620, 0.000050, 0.000154
0.300000, 3.141593, 3.015929, 0.056770, 0.002723, 0.000142, 0.000006
0.300000, 3.141593, 2.984513, 0.014715, 0.048185, 0.000029, 0.000130
0.300000, 3.141593, 2.953097, 0.047480, 0.025408, 0.000132, 0.000069
0.300000, 3.141593, 2.921681, 0.048451, 0.038520, 0.000134, 0.000100
0.300000, 3.141593, 2.890265, 0.009601, 0.063233, 0.000018, 0.000166
0.300000, 3.141593, 2.858849, 0.052610, 0.022696, 0.000136, 0.000057
0.300000, 3.141593, 2.827433, 0.034656, 0.031827, 0.000089, 0.000088
0.300000, 3.141593, 2.796017, 0.019181, 0.038152, 0.000053, 0.000106
0.300000, 3.141593, 2.764602, 0.046285, 0.007157, 0.000126, 0.000010
0.300000, 3.141593, 2.733186, 0.019289, 0.048135, 0.000054, 0.000121
0.300000, 3.141593, 2.701770, 0.030888, 0.042972, 0.000077, 0.000108
0.300000, 3.141593, 2.670354, 0.051087, 0.004515, 0.000132, 0.000015
0.300000, 3.141593, 2.638938, 0.022276, 0.046010, 0.000056, 0.000126
0.300000, 3.141593, 2.607522, 0.029096, 0.045922, 0.000079, 0.000126
0.300000, 3.141593, 2.576106, 0.058249, 0.005491, 0.000156, 0.000018
0.300000, 3.141593, 2.544690, 0.043542, 0.041429, 0.000116, 0.000105
0.300000, 3.141593, 2.513274, 0.001575, 0.057774, 0.000001, 0.000149
0.300000, 3.141593, 2.481858, 0.039614, 0.034767, 0.000104, 0.000088
0.300000, 3.141593, 2.450442, 0.046898, 0.008259, 0.000124, 0.000025
0.300000, 3.141593, 2.419026, 0.020973, 0.040074, 0.000056, 0.000110
0.300000, 3.141593, 2.387610, 0.018075, 0.042215, 0.000048, 0.000115
0.300000, 3.141593, 2.356194, 0.044825, 0.016508, 0.000119, 0.000047
0.300000, 3.141593, 2.324779, 0.044724, 0.019633, 0.000118, 0.000049
0.300000, 3.141593, 2.293363, 0.020133, 0.044212, 0.000053, 0.000114
0.300000, 3.141593, 2.261947, 0.014143, 0.045544, 0.000038, 0.000118
0.300000, 3.141593, 2.230531, 0.040648, 0.024493, 0.000109, 0.000062
0.300000, 3.141593, 2.199115, 0.048048, 0.008553, 0.000129, 0.000024
0.300000, 3.141593, 2.167699, 0.034769, 0.038196, 0.000094, 0.000104
0.300000, 3.141593, 2.136283, 0.007760, 0.054579, 0.000022, 0.000147
0.300000, 3.141593, 2.104867, 0.023478, 0.053295, 0.000060, 0.000144
0.300000, 3.141593, 2.073451, 0.047789, 0.036773, 0.000125, 0.000100
0.300000, 3.141593, 2.042035, 0.059775, 0.012361, 0.000157, 0.000033
0.300000, 3.141593, 2.010619, 0.058015, 0.017240, 0.000152, 0.000038
0.300000, 3.141593, 1.979203, 0.044877, 0.038356, 0.000118, 0.000095
0.300000, 3.141593, 1.947787, 0.024799, 0.051304, 0.000065, 0.000130
0.300000, 3.141593, 1.916372, 0.002635, 0.054750, 0.000007, 0.000139
0.300000, 3.141593, 1.884956, 0.017843, 0.049837, 0.000047, 0.000126
0.300000, 3.141593, 1.853540, 0.033928, 0.038973, 0.000090, 0.000097
0.300000, 3.141593, 1.822124, 0.044673, 0.025048, 0.000118, 0.000058
0.300000, 3.141593, 1.790708, 0.050245, 0.011737, 0.000133, 0.000018
0.300000, 3.141593, 1.759292, 0.051587, 0.010797, 0.000136, 0.000021
0.300000, 3.141593, 1.727876, 0.050008, 0.021221, 0.000132, 0.000055
0.300000, 3.141593, 1.696460, 0.046867, 0.031009, 0.000124, 0.000083
0.300000, 3.141593, 1.665044, 0.043379, 0.038603, 0.000115, 0.000103
0.300000, 3.141593, 1.633628, 0.040513, 0.043881, 0.000108, 0.000117
0.300000, 3.141593, 1.602212, 0.038953, 0.046938, 0.000104, 0.000126
0.300000, 3.141593, 1.570796, 0.039092, 0.047854, 0.000104, 0.000128
0.300000, 3.141593, 1.539380, 0.041019, 0.046594, 0.000110, 0.000124
0.300000, 3.141593, 1.507964, 0.044507, 0.042992, 0.000119, 0.000115
0.300000, 3.141593, 1.476549, 0.049002, 0.036803, 0.000131, 0.000098
0.300000, 3.141593, 1.445133, 0.053614, 0.027809, 0.000143, 0.000074
0.300000, 3.141593, 1.413717, 0.057133, 0.015999, 0.000152, 0.000043
0.300000, 3.141593, 1.382301, 0.058114, 0.002385, 0.000155, 0.000005
0.300000, 3.141593, 1.350885, 0.055061, 0.014372, 0.000147, 0.000037
0.300000, 3.141593, 1.319469, 0.046750, 0.029909, 0.000125, 0.000079
0.300000, 3.141593, 1.288053, 0.032692, 0.042782, 0.000087, 0.000113
0.300000, 3.141593, 1.256637, 0.013764, 0.050024, 0.000037, 0.000132
0.300000, 3.141593, 1.225221, 0.009355, 0.048846, 0.000021, 0.000129
0.300000, 3.141593, 1.193805, 0.029630, 0.037548, 0.000076, 0.000100
0.300000, 3.141593, 1.162389, 0.043970, 0.016592, 0.000114, 0.000045
0.300000, 3.141593, 1.130973, 0.046985, 0.010788, 0.000121, 0.000027
0.300000, 3.141593, 1.099557, 0.035606, 0.037839, 0.000091, 0.000098
0.300000, 3.141593, 1.068142, 0.011423, 0.056563, 0.000024, 0.000147
0.300000, 3.141593, 1.036726, 0.023623, 0.059475, 0.000063, 0.000154
0.300000, 3.141593, 1.005310, 0.053662, 0.043346, 0.000143, 0.000111
0.300000, 3.141593, 0.973894, 0.069778, 0.012486, 0.000186, 0.000027
0.300000, 3.141593, 0.942478, 0.063800, 0.024515, 0.000170, 0.000068
0.300000, 3.141593, 0.911062, 0.036577, 0.048601, 0.000097, 0.000132
0.300000, 3.141593, 0.879646, 0.002814, 0.049154, 0.000001, 0.000133
0.300000, 3.141593, 0.848230, 0.028449, 0.024260, 0.000075, 0.000067
0.300000, 3.141593, 0.816814, 0.030784, 0.014434, 0.000081, 0.000035
0.300000, 3.141593, 0.785398, 0.005177, 0.042898, 0.000011, 0.000111
0.300000, 3.141593, 0.753982, 0.036162, 0.042657, 0.000096, 0.000110
0.300000, 3.141593, 0.722566, 0.063141, 0.011263, 0.000167, 0.000027
0.300000, 3.141593, 0.691150, 0.055706, 0.031770, 0.000147, 0.000086
0.300000, 3.141593, 0.659734, 0.016089, 0.053436, 0.000042, 0.000144
0.300000, 3.141593, 0.628319, 0.028337, 0.034122, 0.000074, 0.000092
0.300000, 3.141593, 0.596903, 0.039721, 0.015044, 0.000105, 0.000038
0.300000, 3.141593, 0.565487, 0.006743, 0.054803, 0.000014, 0.000143
0.300000, 3.141593, 0.534071, 0.049098, 0.049456, 0.000130, 0.000129
0.300000, 3.141593, 0.502655, 0.075338, 0.001120, 0.000199, 0.000002
0.300000, 3.141593, 0.471239, 0.047909, 0.048674, 0.000127, 0.000130
0.300000, 3.141593, 0.439823, 0.010671, 0.050210, 0.000022, 0.000134
0.300000, 3.141593, 0.408407, 0.037644, 0.002486, 0.000096, 0.000007
0.300000, 3.141593, 0.376991, 0.010210, 0.043976, 0.000016, 0.000114
0.300000, 3.141593, 0.345575, 0.047854, 0.035302, 0.000127, 0.000089
0.300000, 3.141593, 0.314159, 0.060277, 0.020877, 0.000160, 0.000058
0.300000, 3.141593, 0.282743, 0.011374, 0.054622, 0.000029, 0.000148
0.300000, 3.141593, 0.251327, 0.041953, 0.020390, 0.000112, 0.000056
0.300000, 3.141593, 0.219911, 0.029702, 0.044457, 0.000079, 0.000116
0.300000, 3.141593, 0.188496, 0.037989, 0.056213, 0.000100, 0.000147
0.300000, 3.141593, 0.157080, 0.072393, 0.005152, 0.000192, 0.000016
0.300000, 3.141593, 0.125664, 0.024839, 0.058421, 0.000065, 0.000158
0.300000, 3.141593, 0.094248, 0.042338, 0.028680, 0.000111, 0.000079
0.300000, 3.141593, 0.062832, 0.031372, 0.043427, 0.000083, 0.000110
0.300000, 3.141593, 0.031416, 0.041615, 0.048953, 0.000109, 0.000125
0.300000, 0.000000, 0.000000, 0.062013, 0.024102, 0.000162, 0.000068
0.300000, 0.000000, 3.141593, 0.029329, 0.045003, 0.000068, 0.000116
0.300000, -3.078761, 3.110177, 0.041796, 0.028721, 0.000119, 0.000075
0.300000, -3.078761, 3.078761, 0.043060, 0.040707, 0.000122, 0.000107
0.300000, -3.078761, 3.047345, 0.021973, 0.058796, 0.000049, 0.000155
0.300000, -3.078761, 3.015929, 0.056836, 0.003160, 0.000142, 0.000007
0.300000, -3.078761, 2.984513, 0.015398, 0.048020, 0.000031, 0.000129
0.300000, -3.078761, 2.953097, 0.046971, 0.026165, 0.000131, 0.000071
0.300000, -3.078761, 2.921681, 0.048982, 0.037665, 0.000136, 0.000098
0.300000, -3.078761, 2.890265, 0.008583, 0.063366, 0.000015, 0.000166
0.300000, -3.078761, 2.858849, 0.052228, 0.023819, 0.000135, 0.000060
0.300000, -3.078761, 2.827433, 0.035625, 0.030930, 0.000092, 0.000086
0.300000, -3.078761, 2.796017, 0.018001, 0.038695, 0.000050, 0.000108
0.300000, -3.078761, 2.764602, 0.046234, 0.006378, 0.000125, 0.000008
0.300000, -3.078761, 2.733186, 0.020691, 0.047354, 0.000058, 0.000119
0.300000, -3.078761, 2.701770, 0.029318, 0.043857, 0.000073, 0.000111
0.300000, -3.078761, 2.670354, 0.050970, 0.002998, 0.000131, 0.000010
0.300000, -3.078761, 2.638938, 0.023890, 0.044791, 0.000060, 0.000123
0.300000, -3.078761, 2.607522, 0.027094, 0.046634, 0.000073, 0.000128
0.300000, -3.078761, 2.576106, 0.057625, 0.007561, 0.000154, 0.000023
0.300000, -3.078761, 2.544690, 0.044964, 0.039468, 0.000120, 0.000100
0.300000, -3.078761, 2.513274, 0.002390, 0.057578, 0.000006, 0.000148
0.300000, -3.078761, 2.481858, 0.037816, 0.036517, 0.000100, 0.000093
0.300000, -3.078761, 2.450442, 0.047046, 0.005922, 0.000124, 0.000018
0.300000, -3.078761, 2.419026, 0.022922, 0.038637, 0.000061, 0.000106
0.300000, -3.078761, 2.387610, 0.015665, 0.042798, 0.000041, 0.000117
0.300000, -3.078761, 2.356194, 0.043575, 0.018796, 0.000115, 0.000053
0.300000, -3.078761, 2.324779, 0.045541, 0.016908, 0.000120, 0.000041
0.300000, -3.078761, 2.293363, 0.022761, 0.042607, 0.000060, 0.000110
0.300000, -3.078761, 2.261947, 0.010914, 0.046027, 0.000030, 0.000119
0.300000, -3.078761, 2.230531, 0.038253, 0.027081, 0.000102, 0.000069
0.300000, -3.078761, 2.199115, 0.047558, 0.006433, 0.000127, 0.000018
0.300000, -3.078761, 2.167699, 0.036480, 0.035156, 0.000098, 0.000095
0.300000, -3.078761, 2.136283, 0.011431, 0.052817, 0.000032, 0.000143
0.300000, -3.078761, 2.104867, 0.020100, 0.053454, 0.000051, 0.000145
0.300000, -3.078761, 2.073451, 0.044665, 0.038795, 0.000116, 0.000106
0.300000, -3.078761, 2.042035, 0.057904, 0.015366, 0.000152, 0.000042
0.300000, -3.078761, 2.010619, 0.057819, 0.013647, 0.000152, 0.000028
0.300000, -3.078761, 1.979203, 0.046328, 0.034819, 0.000122, 0.000086
0.300000, -3.078761, 1.947787, 0.027587, 0.048694, 0.000073, 0.000123
0.300000, -3.078761, 1.916372, 0.007002, 0.053442, 0.000019, 0.000136
0.300000, -3.078761, 1.884956, 0.015160, 0.049920, 0.000040, 0.000126
0.300000, -3.078761, 1.853540, 0.031383, 0.040329, 0.000083, 0.000100
0.300000, -3.078761, 1.822124, 0.042816, 0.027438, 0.000113, 0.000065
0.300000, -3.078761, 1.790708, 0.049299, 0.014670, 0.000131, 0.000028
0.300000, -3.078761, 1.759292, 0.051607, 0.010730, 0.000137, 0.000019
0.300000, -3.078761, 1.727876, 0.050936, 0.019256, 0.000135, 0.000049
0.300000, -3.078761, 1.696460, 0.048577, 0.028678, 0.000129, 0.000076
0.300000, -3.078761, 1.665044, 0.045709, 0.036246, 0.000122, 0.000097
0.300000, -3.078761, 1.633628, 0.043287, 0.041587, 0.000115, 0.000111
0.300000, -3.078761, 1.602212, 0.041996, 0.044700, 0.000112, 0.000119
0.300000, -3.078761, 1.570796, 0.042231, 0.045618, 0.000113, 0.000122
0.300000, -3.078761, 1.539380, 0.044083, 0.044297, 0.000118, 0.000118
0.300000, -3.078761, 1.507964, 0.047323, 0.040591, 0.000126, 0.000108
0.300000, -3.078761, 1.476549, 0.051395, 0.034309, 0.000137, 0.000092
0.300000, -3.078761, 1.445133, 0.055412, 0.025347, 0.000148, 0.000068
0.300000, -3.078761, 1.413717, 0.058190, 0.014037, 0.000155, 0.000038
0.300000, -3.078761, 1.382301, 0.058339, 0.005821, 0.000155, 0.000015
0.300000, -3.078761, 1.350885, 0.054470, 0.017612, 0.000145, 0.000046
0.300000, -3.078761, 1.319469, 0.045534, 0.032001, 0.000121, 0.000085
0.300000, -3.078761, 1.288053, 0.031356, 0.043683, 0.000084, 0.000116
0.300000, -3.078761, 1.256637, 0.014069, 0.049617, 0.000038, 0.000132
0.300000, -3.078761, 1.225221, 0.014045, 0.047170, 0.000035, 0.000125
0.300000, -3.078761, 1.193805, 0.031757, 0.034907, 0.000082, 0.000093
0.300000, -3.078761, 1.162389, 0.044305, 0.013643, 0.000115, 0.000037
0.300000, -3.078761, 1.130973, 0.045679, 0.013677, 0.000118, 0.000035
0.300000, -3.078761, 1.099557, 0.033179, 0.039477, 0.000084, 0.000103
0.300000, -3.078761, 1.068142, 0.010133, 0.056462, 0.000021, 0.000147
0.300000, -3.078761, 1.036726, 0.026862, 0.057606, 0.000072, 0.000149
0.300000, -3.078761, 1.005310, 0.055109, 0.040390, 0.000147, 0.000103
0.300000, -3.078761, 0.973894, 0.069071, 0.010912, 0.000184, 0.000023
0.300000, -3.078761, 0.942478, 0.061254, 0.027353, 0.000163, 0.000075
0.300000, -3.078761, 0.911062, 0.033293, 0.049126, 0.000088, 0.000133
0.300000, -3.078761, 0.879646, 0.004452, 0.047536, 0.000010, 0.000129
0.300000, -3.078761, 0.848230, 0.029239, 0.021544, 0.000078, 0.000059
0.300000, -3.078761, 0.816814, 0.029505, 0.016587, 0.000078, 0.000041
0.300000, -3.078761, 0.785398, 0.003476, 0.043350, 0.000005, 0.000112
0.300000, -3.078761, 0.753982, 0.037913, 0.041156, 0.000100, 0.000106
0.300000, -3.078761, 0.722566, 0.063040, 0.009012, 0.000167, 0.000021
0.300000, -3.078761, 0.691150, 0.053778, 0.033197, 0.000142, 0.000090
0.300000, -3.078761, 0.659734, 0.013892, 0.052829, 0.000036, 0.000142
0.300000, -3.078761, 0.628319, 0.029452, 0.031899, 0.000078, 0.000087
0.300000, -3.078761, 0.596903, 0.038717, 0.017123, 0.000102, 0.000043
0.300000, -3.078761, 0.565487, 0.005493, 0.055136, 0.000009, 0.000144
0.300000, -3.078761, 0.534071, 0.050523, 0.047863, 0.000133, 0.000125
0.300000, -3.078761, 0.502655, 0.074766, 0.001862, 0.000198, 0.000006
0.300000, -3.078761, 0.471239, 0.046006, 0.049238, 0.000122, 0.000132
0.300000, -3.078761, 0.439823, 0.011940, 0.048978, 0.000026, 0.000131
0.300000, -3.078761, 0.408407, 0.037392, 0.001560, 0.000095, 0.000004
0.300000, -3.078761, 0.376991, 0.009808, 0.044309, 0.000015, 0.000114
0.300000, -3.078761, 0.345575, 0.048670, 0.034237, 0.000130, 0.000086
0.300000, -3.078761, 0.314159, 0.059546, 0.022020, 0.000158, 0.000061
0.300000, -3.078761, 0.282743, 0.010066, 0.054412, 0.000026, 0.000148
0.300000, -3.078761, 0.251327, 0.042254, 0.019231, 0.000113, 0.000053
0.300000, -3.078761, 0.219911, 0.028941, 0.045072, 0.000077, 0.000118
0.300000, -3.078761, 0.188496, 0.038791, 0.055724, 0.000102, 0.000146
0.300000, -3.078761, 0.157080, 0.072211, 0.006008, 0.000191, 0.000018
0.300000, -3.078761, 0.125664, 0.024218, 0.058477, 0.000063, 0.000158
0.300000, -3.078761, 0.094248, 0.042511, 0.028238, 0.000112, 0.000078
0.300000, -3.078761, 0.062832, 0.031117, 0.043618, 0.000082, 0.000111
0.300000, -3.078761, 0.031416, 0.041742, 0.048848, 0.000110, 0.000124
0.300000, 0.000000, 0.000000, 0.062013, 0.024102, 0.000162, 0.000068
0.300000, 0.000000, 3.141593, 0.029329, 0.045003, 0.000068, 0.000116
0.300000, -3.015929, 3.110177, 0.041514, 0.029073, 0.000118, 0.000076
0.300000, -3.015929, 3.078761, 0.043579, 0.040003, 0.000123, 0.000105
0.300000, -3.015929, 3.047345, 0.020772, 0.059245, 0.000046, 0.000156
0.300000, -3.015929, 3.015929, 0.056903, 0.004676, 0.000142, 0.000011
0.300000, -3.015929, 2.984513, 0.017388, 0.047358, 0.000036, 0.000127
0.300000, -3.015929, 2.953097, 0.045320, 0.028210, 0.000127, 0.000077
0.300000, -3.015929, 2.921681, 0.050353, 0.035031, 0.000139, 0.000091
0.300000, -3.015929, 2.890265, 0.005926, 0.063537, 0.000006, 0.000167
0.300000, -3.015929, 2.858849, 0.050863, 0.027163, 0.000131, 0.000069
0.300000, -3.015929, 2.827433, 0.038270, 0.028078, 0.000099, 0.000078
0.300000, -3.015929, 2.796017, 0.014383, 0.039881, 0.000040, 0.000111
0.300000, -3.015929, 2.764602, 0.045584, 0.005361, 0.000124, 0.000011
0.300000, -3.015929, 2.733186, 0.024454, 0.044655, 0.000068, 0.000112
0.300000, -3.015929, 2.701770, 0.024661, 0.045962, 0.000061, 0.000116
0.300000, -3.015929, 2.670354, 0.050188, 0.004548, 0.000129, 0.000007
0.300000, -3.015929, 2.638938, 0.028315, 0.040814, 0.000072, 0.000112
0.300000, -3.015929, 2.607522, 0.021006, 0.048065, 0.000057, 0.000131
0.300000, -3.015929, 2.576106, 0.055018, 0.013514, 0.000147, 0.000040
0.300000, -3.015929, 2.544690, 0.048290, 0.033405, 0.000129, 0.000084
0.300000, -3.015929, 2.513274, 0.008994, 0.056238, 0.000024, 0.000145
0.300000, -3.015929, 2.481858, 0.032185, 0.041000, 0.000085, 0.000105
0.300000, -3.015929, 2.450442, 0.046727, 0.002791, 0.000124, 0.000002
0.300000, -3.015929, 2.419026, 0.028109, 0.033702, 0.000074, 0.000093
0.300000, -3.015929, 2.387610, 0.008531, 0.043405, 0.000023, 0.000119
0.300000, -3.015929, 2.356194, 0.039006, 0.024702, 0.000103, 0.000069
0.300000, -3.015929, 2.324779, 0.046608, 0.009514, 0.000123, 0.000022
0.300000, -3.015929, 2.293363, 0.029290, 0.037447, 0.000077, 0.000096
0.300000, -3.015929, 2.261947, 0.002200, 0.046471, 0.000007, 0.000120
0.300000, -3.015929, 2.230531, 0.030953, 0.033619, 0.000083, 0.000086
0.300000, -3.015929, 2.199115, 0.045199, 0.009349, 0.000121, 0.000023
0.300000, -3.015929, 2.167699, 0.040324, 0.026302, 0.000108, 0.000072
0.300000, -3.015929, 2.136283, 0.020577, 0.046677, 0.000056, 0.000126
0.300000, -3.015929, 2.104867, 0.012187, 0.052398, 0.000030, 0.000142
0.300000, -3.015929, 2.073451, 0.035364, 0.043104, 0.000092, 0.000117
0.300000, -3.015929, 2.042035, 0.051471, 0.023392, 0.000135, 0.000065
0.300000, -3.015929, 2.010619, 0.055841, 0.005994, 0.000146, 0.000005
0.300000, -3.015929, 1.979203, 0.049044, 0.024681, 0.000129, 0.000059
0.300000, -3.015929, 1.947787, 0.034286, 0.040661, 0.000090, 0.000102
0.300000, -3.015929, 1.916372, 0.016408, 0.048791, 0.000043, 0.000123
0.300000, -3.015929, 1.884956, 0.010451, 0.049092, 0.000028, 0.000124
0.300000, -3.015929, 1.853540, 0.024578, 0.043115, 0.000066, 0.000108
0.300000, -3.015929, 1.822124, 0.037286, 0.033171, 0.000099, 0.000081
0.300000, -3.015929, 1.790708, 0.045983, 0.021994, 0.000122, 0.000050
0.300000, -3.015929, 1.759292, 0.050827, 0.013723, 0.000135, 0.000026
0.300000, -3.015929, 1.727876, 0.052648, 0.014797, 0.000140, 0.000034
0.300000, -3.015929, 1.696460, 0.052503, 0.021791, 0.000140, 0.000056
0.300000, -3.015929, 1.665044, 0.051438, 0.028695, 0.000137, 0.000076
0.300000, -3.015929, 1.633628, 0.050342, 0.033875, 0.000134, 0.000090
0.300000, -3.015929, 1.602212, 0.049871, 0.036930, 0.000133, 0.000098
0.300000, -3.015929, 1.570796, 0.050404, 0.037729, 0.000135, 0.000101
0.300000, -3.015929, 1.539380, 0.052020, 0.036191, 0.000139, 0.000097
0.300000, -3.015929, 1.507964, 0.054481, 0.032239, 0.000145, 0.000086
0.300000, -3.015929, 1.476549, 0.057230, 0.025884, 0.000153, 0.000069
0.300000, -3.015929, 1.445133, 0.059418, 0.017547, 0.000158, 0.000047
0.300000, -3.015929, 1.413717, 0.059960, 0.010008, 0.000160, 0.000027
0.300000, -3.015929, 1.382301, 0.057676, 0.013971, 0.000154, 0.000037
0.300000, -3.015929, 1.350885, 0.051529, 0.025750, 0.000137, 0.000069
0.300000, -3.015929, 1.319469, 0.041045, 0.037399, 0.000110, 0.000099
0.300000, -3.015929, 1.288053, 0.027176, 0.045599, 0.000073, 0.000121
0.300000, -3.015929, 1.256637, 0.016150, 0.047672, 0.000043, 0.000127
0.300000, -3.015929, 1.225221, 0.023068, 0.041589, 0.000060, 0.000111
0.300000, -3.015929, 1.193805, 0.036656, 0.026751, 0.000095, 0.000072
0.300000, -3.015929, 1.162389, 0.044357, 0.005834, 0.000115, 0.000017
0.300000, -3.015929, 1.130973, 0.041166, 0.021628, 0.000106, 0.000056
0.300000, -3.015929, 1.099557, 0.026006, 0.043609, 0.000066, 0.000113
0.300000, -3.015929, 1.068142, 0.011929, 0.055347, 0.000030, 0.000144
0.300000, -3.015929, 1.036726, 0.035401, 0.051419, 0.000095, 0.000133
0.300000, -3.015929, 1.005310, 0.058465, 0.031560, 0.000156, 0.000079
0.300000, -3.015929, 0.973894, 0.066104, 0.011480, 0.000176, 0.000029
0.300000, -3.015929, 0.942478, 0.053150, 0.034436, 0.000141, 0.000094
0.300000, -3.015929, 0.911062, 0.023590, 0.049660, 0.000062, 0.000135
0.300000, -3.015929, 0.879646, 0.011370, 0.041966, 0.000030, 0.000114
0.300000, -3.015929, 0.848230, 0.030882, 0.013258, 0.000082, 0.000037
0.300000, -3.015929, 0.816814, 0.025040, 0.023031, 0.000066, 0.000058
0.300000, -3.015929, 0.785398, 0.006202, 0.044309, 0.000014, 0.000115
0.300000, -3.015929, 0.753982, 0.043165, 0.036305, 0.000114, 0.000094
0.300000, -3.015929, 0.722566, 0.062582, 0.003189, 0.000166, 0.000006
0.300000, -3.015929, 0.691150, 0.047948, 0.037359, 0.000127, 0.000101
0.300000, -3.015929, 0.659734, 0.007957, 0.050871, 0.000020, 0.000137
0.300000, -3.015929, 0.628319, 0.032339, 0.025303, 0.000085, 0.000069
0.300000, -3.015929, 0.596903, 0.035375, 0.023157, 0.000093, 0.000059
0.300000, -3.015929, 0.565487, 0.006407, 0.055792, 0.000013, 0.000146
0.300000, -3.015929, 0.534071, 0.054685, 0.042862, 0.000144, 0.000112
0.300000, -3.015929, 0.502655, 0.072939, 0.007609, 0.000193, 0.000022
0.300000, -3.015929, 0.471239, 0.040334, 0.050848, 0.000107, 0.000136
0.300000, -3.015929, 0.439823, 0.015715, 0.045247, 0.000037, 0.000121
0.300000, -3.015929, 0.408407, 0.036414, 0.004780, 0.000093, 0.000011
0.300000, -3.015929, 0.376991, 0.009258, 0.045219, 0.000014, 0.000117
0.300000, -3.015929, 0.345575, 0.051079, 0.030959, 0.000136, 0.000077
0.300000, -3.015929, 0.314159, 0.057404, 0.025377, 0.000152, 0.000070
0.300000, -3.015929, 0.282743, 0.006332, 0.053821, 0.000016, 0.000146
0.300000, -3.015929, 0.251327, 0.043140, 0.015866, 0.000116, 0.000044
0.300000, -3.015929, 0.219911, 0.026575, 0.046949, 0.000071, 0.000123
0.300000, -3.015929, 0.188496, 0.041154, 0.054267, 0.000108, 0.000142
0.300000, -3.015929, 0.157080, 0.071716, 0.008298, 0.000190, 0.000024
0.300000, -3.015929, 0.125664, 0.022380, 0.058696, 0.000058, 0.000159
0.300000, -3.015929, 0.094248, 0.043083, 0.026946, 0.000113, 0.000075
0.300000, -3.015929, 0.062832, 0.030388, 0.044218, 0.000080, 0.000113
0.300000, -3.015929, 0.031416, 0.042127, 0.048558, 0.000111, 0.000124
0.300000, 0.000000, 0.000000, 0.062013, 0.024102, 0.000162, 0.000068
0.300000, 0.000000, 3.141593, 0.029329, 0.045003, 0.000068, 0.000116
0.300000, -2.953097, 3.110177, 0.041035, 0.029651, 0.000117, 0.000077
0.300000, -2.953097, 3.078761, 0.044409, 0.038805, 0.000126, 0.000102
0.300000, -2.953097, 3.047345, 0.018751, 0.059908, 0.000040, 0.000158
0.300000, -2.953097, 3.015929, 0.056865, 0.007415, 0.000142, 0.000018
0.300000, -2.953097, 2.984513, 0.020649, 0.046050, 0.000045, 0.000124
0.300000, -2.953097, 2.953097, 0.042376, 0.031363, 0.000119, 0.000085
0.300000, -2.953097, 2.921681, 0.052271, 0.030533, 0.000145, 0.000079
0.300000, -2.953097, 2.890265, 0.004565, 0.063358, 0.000010, 0.000166
0.300000, -2.953097, 2.858849, 0.048103, 0.032478, 0.000123, 0.000084
0.300000, -2.953097, 2.827433, 0.042093, 0.022976, 0.000109, 0.000064
0.300000, -2.953097, 2.796017, 0.008759, 0.041041, 0.000025, 0.000113
0.300000, -2.953097, 2.764602, 0.043634, 0.009055, 0.000118, 0.000027
0.300000, -2.953097, 2.733186, 0.029908, 0.039512, 0.000083, 0.000098
0.300000, -2.953097, 2.701770, 0.016824, 0.048300, 0.000040, 0.000122
0.300000, -2.953097, 2.670354, 0.047690, 0.012791, 0.000122, 0.000029
0.300000, -2.953097, 2.638938, 0.034480, 0.033383, 0.000088, 0.000093
0.300000, -2.953097, 2.607522, 0.011007, 0.048791, 0.000031, 0.000133
0.300000, -2.953097, 2.576106, 0.049220, 0.022449, 0.000132, 0.000063
0.300000, -2.953097, 2.544690, 0.051879, 0.022877, 0.000139, 0.000056
0.300000, -2.953097, 2.513274, 0.019615, 0.052143, 0.000053, 0.000134
0.300000, -2.953097, 2.481858, 0.021958, 0.046474, 0.000058, 0.000119
0.300000, -2.953097, 2.450442, 0.044021, 0.013199, 0.000116, 0.000031
0.300000, -2.953097, 2.419026, 0.034698, 0.024200, 0.000092, 0.000068
0.300000, -2.953097, 2.387610, 0.003543, 0.041834, 0.000010, 0.000114
0.300000, -2.953097, 2.356194, 0.029783, 0.032187, 0.000079, 0.000089
0.300000, -2.953097, 2.324779, 0.045412, 0.005153, 0.000120, 0.000016
0.300000, -2.953097, 2.293363, 0.037340, 0.027286, 0.000099, 0.000069
0.300000, -2.953097, 2.261947, 0.011965, 0.043904, 0.000032, 0.000113
0.300000, -2.953097, 2.230531, 0.017701, 0.040699, 0.000048, 0.000105
0.300000, -2.953097, 2.199115, 0.038020, 0.022103, 0.000102, 0.000056
0.300000, -2.953097, 2.167699, 0.042326, 0.014897, 0.000113, 0.000040
0.300000, -2.953097, 2.136283, 0.031213, 0.034865, 0.000084, 0.000095
0.300000, -2.953097, 2.104867, 0.013836, 0.046981, 0.000037, 0.000127
0.300000, -2.953097, 2.073451, 0.021450, 0.045896, 0.000055, 0.000125
0.300000, -2.953097, 2.042035, 0.039146, 0.033338, 0.000102, 0.000092
0.300000, -2.953097, 2.010619, 0.049134, 0.014314, 0.000129, 0.000040
