#
#"Theta / deg"	"farfield (f=10) [[Horn]1] [dBi]"
#-----------------------------------------------
0.0000000000000	30.012928466060
5.0000000000000	19.131845811740
10.000000000000	1.9292538909926
15.000000000000	1.2165483192585
20.000000000000	-1.7896399037386
25.000000000000	-4.3973882721359
30.000000000000	-8.2527502805462
35.000000000000	-10.313528705415
40.000000000000	-11.330650791967
45.000000000000	-12.866728984314
50.000000000000	-14.761267346487
55.000000000000	-16.977573614737
60.000000000000	-18.223691437639
65.000000000000	-19.671928896385
70.000000000000	-20.760727697170
75.000000000000	-23.955796779522
80.000000000000	-29.938843936340
85.000000000000	-24.684177018786
90.000000000000	-25.565896860383
95.000000000000	-20.559463701959
100.00000000000	-21.446432147272
105.00000000000	-18.968367886984
110.00000000000	-17.380696228423
115.00000000000	-17.584884137851
120.00000000000	-20.329457665544
125.00000000000	-22.662314907527
130.00000000000	-25.858804957410
135.00000000000	-27.373430807664
140.00000000000	-28.101065292811
145.00000000000	-35.603925770118
150.00000000000	-32.263290821696
155.00000000000	-28.716682883154
160.00000000000	-28.158898993186
165.00000000000	-28.145443963779
170.00000000000	-22.701589359322
175.00000000000	-39.591495221971
180.00000000000	-8.1021753299289
175.00000000000	-34.249051100878
170.00000000000	-22.998108939866
165.00000000000	-26.709226296194
160.00000000000	-27.936817080169
155.00000000000	-27.522643258130
150.00000000000	-31.876052995160
145.00000000000	-35.383072181338
140.00000000000	-27.903051877425
135.00000000000	-28.977726652285
130.00000000000	-25.831463898949
125.00000000000	-22.547612126227
120.00000000000	-20.869734723603
115.00000000000	-18.967637268545
110.00000000000	-17.964737000418
105.00000000000	-18.713594974142
100.00000000000	-20.230149051103
95.000000000000	-19.363405214635
90.000000000000	-24.566692721205
85.000000000000	-25.478811740646
80.000000000000	-32.083226181147
75.000000000000	-24.064012581871
70.000000000000	-20.405680704178
65.000000000000	-19.511608998739
60.000000000000	-18.950388417787
55.000000000000	-16.827140102956
50.000000000000	-14.709100671151
45.000000000000	-13.377597577859
40.000000000000	-12.254920825074
35.000000000000	-10.915150943742
30.000000000000	-8.1840352230462
25.000000000000	-3.9887619365451
20.000000000000	-1.5267254821776
15.000000000000	1.4328590760190
10.000000000000	2.0310431365385
5.0000000000000	19.207679804020
0.0000000000000	30.012928466060
