#
#"Theta / deg"	"farfield (f=10) [[Horn]1] [dB(V/m)]"
#---------------------------------------------------
0.0000000000000	31.010024000841
5.0000000000000	19.231388116375
10.000000000000	3.0257504328629
15.000000000000	1.7466781084605
20.000000000000	-1.4677239757719
25.000000000000	-4.3492058666806
30.000000000000	-8.1905507410185
35.000000000000	-9.7545203675971
40.000000000000	-10.959105090655
45.000000000000	-12.970378730613
50.000000000000	-15.716394611072
55.000000000000	-16.851372538205
60.000000000000	-17.004767026281
65.000000000000	-20.012069085360
70.000000000000	-23.579222474822
75.000000000000	-24.063478199591
80.000000000000	-27.870358766477
85.000000000000	-25.104032616435
90.000000000000	-21.939438252828
95.000000000000	-20.352654964391
100.00000000000	-20.432881828983
105.00000000000	-17.386828106212
110.00000000000	-17.218000832207
115.00000000000	-18.345312589329
120.00000000000	-20.859672831592
125.00000000000	-24.060454739075
130.00000000000	-27.268615985263
135.00000000000	-28.222318064442
140.00000000000	-29.425015811117
145.00000000000	-35.897074238785
150.00000000000	-29.354546007868
155.00000000000	-35.588438587660
160.00000000000	-25.403492170917
165.00000000000	-32.555073227152
170.00000000000	-22.996540533253
175.00000000000	-22.112003421072
180.00000000000	-8.6574082328983
175.00000000000	-21.692154376706
170.00000000000	-23.774623283652
165.00000000000	-30.534380613346
160.00000000000	-25.341850550771
155.00000000000	-31.655938443887
150.00000000000	-30.314171483727
145.00000000000	-39.547746196643
140.00000000000	-28.881158855814
135.00000000000	-31.392958253242
130.00000000000	-26.274635259681
125.00000000000	-23.595660443079
120.00000000000	-21.782030080700
115.00000000000	-19.325673972639
110.00000000000	-17.813791811710
105.00000000000	-18.062172538242
100.00000000000	-19.602703053683
95.000000000000	-18.911048756363
90.000000000000	-20.817121762029
85.000000000000	-24.792261908886
80.000000000000	-29.234588362261
75.000000000000	-25.133486044046
70.000000000000	-23.483377025458
65.000000000000	-19.448085579761
60.000000000000	-17.550605110440
55.000000000000	-17.051696271847
50.000000000000	-15.538536886864
45.000000000000	-13.215692775572
40.000000000000	-11.712959360164
35.000000000000	-10.563774013413
30.000000000000	-8.3264863886642
25.000000000000	-3.9580535825877
20.000000000000	-1.1815618276059
15.000000000000	1.9675602792038
10.000000000000	3.2202411664601
5.0000000000000	19.295679496285
0.0000000000000	31.010024000841
