Theta Phi E_field
0.0 0.0 -1.9286549331065747e-15
0.0 2.0 -9.643274665532871e-16
0.0 4.0 -2.8929823996598616e-15
0.0 6.0 -9.643274665532871e-16
0.0 8.0 -9.643274665532871e-16
0.0 10.0 -9.643274665532871e-16
0.0 12.0 -2.8929823996598616e-15
0.0 14.0 -1.9286549331065747e-15
0.0 16.0 -1.9286549331065747e-15
0.0 18.0 0.0
0.0 20.0 -9.643274665532871e-16
0.0 22.0 -9.643274665532871e-16
0.0 24.0 -2.8929823996598616e-15
0.0 26.0 0.0
0.0 28.0 -1.9286549331065747e-15
0.0 30.0 -2.8929823996598616e-15
0.0 32.0 -9.643274665532871e-16
0.0 34.0 -9.643274665532871e-16
0.0 36.0 0.0
0.0 38.0 0.0
0.0 40.0 -9.643274665532871e-16
0.0 42.0 -9.643274665532871e-16
0.0 44.0 -1.9286549331065747e-15
0.0 46.0 -1.9286549331065747e-15
0.0 48.0 -1.9286549331065747e-15
0.0 50.0 -9.643274665532871e-16
0.0 52.0 -1.9286549331065747e-15
0.0 54.0 -2.8929823996598616e-15
0.0 56.0 -1.9286549331065747e-15
0.0 58.0 -1.9286549331065747e-15
0.0 60.0 -2.8929823996598616e-15
0.0 62.0 -1.9286549331065747e-15
0.0 64.0 -1.9286549331065747e-15
0.0 66.0 -9.643274665532871e-16
0.0 68.0 -9.643274665532871e-16
0.0 70.0 -9.643274665532871e-16
0.0 72.0 -1.9286549331065747e-15
0.0 74.0 -1.9286549331065747e-15
0.0 76.0 -1.9286549331065747e-15
0.0 78.0 -2.8929823996598616e-15
0.0 80.0 -9.643274665532871e-16
0.0 82.0 -9.643274665532871e-16
0.0 84.0 -9.643274665532871e-16
0.0 86.0 -1.9286549331065747e-15
0.0 88.0 -2.8929823996598616e-15
0.0 90.0 -9.643274665532871e-16
0.0 92.0 -2.8929823996598616e-15
0.0 94.0 -9.643274665532871e-16
0.0 96.0 -2.8929823996598616e-15
0.0 98.0 -9.643274665532871e-16
0.0 100.0 -2.8929823996598616e-15
0.0 102.0 -1.9286549331065747e-15
0.0 104.0 -9.643274665532871e-16
0.0 106.0 0.0
0.0 108.0 -9.643274665532871e-16
0.0 110.0 -9.643274665532871e-16
0.0 112.0 -1.9286549331065747e-15
0.0 114.0 -1.9286549331065747e-15
0.0 116.0 -9.643274665532871e-16
0.0 118.0 -2.8929823996598616e-15
0.0 120.0 -9.643274665532871e-16
0.0 122.0 -9.643274665532871e-16
0.0 124.0 -2.8929823996598616e-15
0.0 126.0 -4.821637332766436e-15
0.0 128.0 -9.643274665532871e-16
0.0 130.0 0.0
0.0 132.0 -1.9286549331065747e-15
0.0 134.0 -1.9286549331065747e-15
0.0 136.0 -2.8929823996598616e-15
0.0 138.0 -9.643274665532871e-16
0.0 140.0 -1.9286549331065747e-15
0.0 142.0 -1.9286549331065747e-15
0.0 144.0 -1.9286549331065747e-15
0.0 146.0 -1.9286549331065747e-15
0.0 148.0 -1.9286549331065747e-15
0.0 150.0 -9.643274665532871e-16
0.0 152.0 0.0
0.0 154.0 0.0
0.0 156.0 -1.9286549331065747e-15
0.0 158.0 -9.643274665532871e-16
0.0 160.0 -9.643274665532871e-16
0.0 162.0 0.0
0.0 164.0 -1.9286549331065747e-15
0.0 166.0 -9.643274665532871e-16
0.0 168.0 -1.9286549331065747e-15
0.0 170.0 0.0
0.0 172.0 -9.643274665532871e-16
0.0 174.0 -1.9286549331065747e-15
0.0 176.0 0.0
0.0 178.0 0.0
0.0 180.0 -9.643274665532871e-16
0.0 182.0 -9.643274665532871e-16
0.0 184.0 -1.9286549331065747e-15
0.0 186.0 -9.643274665532871e-16
0.0 188.0 -9.643274665532871e-16
0.0 190.0 -9.643274665532871e-16
0.0 192.0 -9.643274665532871e-16
0.0 194.0 -9.643274665532871e-16
0.0 196.0 -1.9286549331065747e-15
0.0 198.0 -9.643274665532871e-16
0.0 200.0 -9.643274665532871e-16
0.0 202.0 -9.643274665532871e-16
0.0 204.0 -2.8929823996598616e-15
0.0 206.0 -9.643274665532871e-16
0.0 208.0 -1.9286549331065747e-15
0.0 210.0 -9.643274665532871e-16
0.0 212.0 -9.643274665532871e-16
0.0 214.0 -9.643274665532871e-16
0.0 216.0 -1.9286549331065747e-15
0.0 218.0 0.0
0.0 220.0 -9.643274665532871e-16
0.0 222.0 -1.9286549331065747e-15
0.0 224.0 -9.643274665532871e-16
0.0 226.0 -9.643274665532871e-16
0.0 228.0 -1.9286549331065747e-15
0.0 230.0 -1.9286549331065747e-15
0.0 232.0 -1.9286549331065747e-15
0.0 234.0 -9.643274665532871e-16
0.0 236.0 -2.8929823996598616e-15
0.0 238.0 -9.643274665532871e-16
0.0 240.0 -1.9286549331065747e-15
0.0 242.0 0.0
0.0 244.0 -9.643274665532871e-16
0.0 246.0 -2.8929823996598616e-15
0.0 248.0 -9.643274665532871e-16
0.0 250.0 -9.643274665532871e-16
0.0 252.0 0.0
0.0 254.0 -9.643274665532871e-16
0.0 256.0 -1.9286549331065747e-15
0.0 258.0 -1.9286549331065747e-15
0.0 260.0 -2.8929823996598616e-15
0.0 262.0 -9.643274665532871e-16
0.0 264.0 -1.9286549331065747e-15
0.0 266.0 -9.643274665532871e-16
0.0 268.0 -2.8929823996598616e-15
0.0 270.0 -2.8929823996598616e-15
0.0 272.0 -9.643274665532871e-16
0.0 274.0 -1.9286549331065747e-15
0.0 276.0 -2.8929823996598616e-15
0.0 278.0 -1.9286549331065747e-15
0.0 280.0 -1.9286549331065747e-15
0.0 282.0 0.0
0.0 284.0 -9.643274665532871e-16
0.0 286.0 -9.643274665532871e-16
0.0 288.0 -9.643274665532871e-16
0.0 290.0 -9.643274665532871e-16
0.0 292.0 -2.8929823996598616e-15
0.0 294.0 -1.9286549331065747e-15
0.0 296.0 -9.643274665532871e-16
0.0 298.0 -9.643274665532871e-16
0.0 300.0 -9.643274665532871e-16
0.0 302.0 -9.643274665532871e-16
0.0 304.0 -1.9286549331065747e-15
0.0 306.0 -1.9286549331065747e-15
0.0 308.0 -1.9286549331065747e-15
0.0 310.0 -9.643274665532871e-16
0.0 312.0 -2.8929823996598616e-15
0.0 314.0 0.0
0.0 316.0 -2.8929823996598616e-15
0.0 318.0 -2.8929823996598616e-15
0.0 320.0 0.0
0.0 322.0 0.0
0.0 324.0 -1.9286549331065747e-15
0.0 326.0 -1.9286549331065747e-15
0.0 328.0 -1.9286549331065747e-15
0.0 330.0 -9.643274665532871e-16
0.0 332.0 -1.9286549331065747e-15
0.0 334.0 -9.643274665532871e-16
0.0 336.0 -1.9286549331065747e-15
0.0 338.0 -9.643274665532871e-16
0.0 340.0 -1.9286549331065747e-15
0.0 342.0 -1.9286549331065747e-15
0.0 344.0 -1.9286549331065747e-15
0.0 346.0 -1.9286549331065747e-15
0.0 348.0 -2.8929823996598616e-15
0.0 350.0 -9.643274665532871e-16
0.0 352.0 -1.9286549331065747e-15
0.0 354.0 0.0
0.0 356.0 -1.9286549331065747e-15
0.0 358.0 -2.8929823996598616e-15
5.0 0.0 -0.9622138712872342
5.0 2.0 -0.9563007445947305
5.0 4.0 -0.9504769330263434
5.0 6.0 -0.9447590387257503
5.0 8.0 -0.9391642774952075
5.0 10.0 -0.933710415511378
5.0 12.0 -0.9284156607092267
5.0 14.0 -0.9232985114502732
5.0 16.0 -0.9183775666334912
5.0 18.0 -0.9136713027274944
5.0 20.0 -0.9091978242646004
5.0 22.0 -0.9049745951175789
5.0 24.0 -0.9010181583713129
5.0 26.0 -0.8973438528094145
5.0 28.0 -0.8939655339775405
5.0 30.0 -0.8908953074874963
5.0 32.0 -0.8881432817218688
5.0 34.0 -0.8857173464246365
5.0 36.0 -0.883622982856172
5.0 38.0 -0.8818631102873608
5.0 40.0 -0.8804379726398228
5.0 42.0 -0.8793450680760729
5.0 44.0 -0.8785791233287494
5.0 46.0 -0.8781321135509121
5.0 48.0 -0.8779933274854178
5.0 50.0 -0.8781494768032783
5.0 52.0 -0.8785848475592383
5.0 54.0 -0.8792814908683864
5.0 56.0 -0.8802194491310587
5.0 58.0 -0.8813770134363594
5.0 60.0 -0.8827310071707448
5.0 62.0 -0.884257090360605
5.0 64.0 -0.8859300789017048
5.0 66.0 -0.8877242725860106
5.0 68.0 -0.889613785739905
5.0 70.0 -0.8915728743436984
5.0 72.0 -0.8935762537143368
5.0 74.0 -0.895599401197129
5.0 76.0 -0.8976188388193365
5.0 78.0 -0.899612391492146
5.0 80.0 -0.901559417085442
5.0 82.0 -0.9034410055148588
5.0 84.0 -0.9052401448415468
5.0 86.0 -0.906941853258913
5.0 88.0 -0.9085332766942285
5.0 90.0 -0.9100037525549163
5.0 92.0 -0.9113448408720044
5.0 94.0 -0.912550324713564
5.0 96.0 -0.9136161822419832
5.0 98.0 -0.9145405331604186
5.0 100.0 -0.9153235625314772
5.0 102.0 -0.9159674250578922
5.0 104.0 -0.9164761328986265
5.0 106.0 -0.9168554299673487
5.0 108.0 -0.917112655440685
5.0 110.0 -0.9172565989106536
5.0 112.0 -0.9172973492708758
5.0 114.0 -0.9172461390522015
5.0 116.0 -0.9171151855430898
5.0 118.0 -0.9169175296654979
5.0 120.0 -0.9166668732491302
5.0 122.0 -0.9163774150743577
