Theta Phi E_field
0.0 0.0 -0.002658844946085502
0.0 2.0 -0.002658844946085502
0.0 4.0 -0.002658844946089361
0.0 6.0 -0.0026588449460874315
0.0 8.0 -0.0026588449460845376
0.0 10.0 -0.002658844946083573
0.0 12.0 -0.0026588449460874315
0.0 14.0 -0.002658844946085502
0.0 16.0 -0.002658844946085502
0.0 18.0 -0.0026588449460845376
0.0 20.0 -0.0026588449460874315
0.0 22.0 -0.002658844946085502
0.0 24.0 -0.002658844946085502
0.0 26.0 -0.0026588449460874315
0.0 28.0 -0.0026588449460874315
0.0 30.0 -0.0026588449460874315
0.0 32.0 -0.0026588449460845376
0.0 34.0 -0.002658844946085502
0.0 36.0 -0.002658844946089361
0.0 38.0 -0.002658844946085502
0.0 40.0 -0.002658844946085502
0.0 42.0 -0.002658844946083573
0.0 44.0 -0.0026588449460874315
0.0 46.0 -0.002658844946085502
0.0 48.0 -0.0026588449460845376
0.0 50.0 -0.0026588449460845376
0.0 52.0 -0.0026588449460874315
0.0 54.0 -0.0026588449460874315
0.0 56.0 -0.0026588449460826086
0.0 58.0 -0.0026588449460845376
0.0 60.0 -0.0026588449460874315
0.0 62.0 -0.002658844946085502
0.0 64.0 -0.0026588449460845376
0.0 66.0 -0.002658844946083573
0.0 68.0 -0.0026588449460874315
0.0 70.0 -0.002658844946085502
0.0 72.0 -0.002658844946085502
0.0 74.0 -0.0026588449460845376
0.0 76.0 -0.0026588449460874315
0.0 78.0 -0.0026588449460874315
0.0 80.0 -0.0026588449460845376
0.0 82.0 -0.0026588449460874315
0.0 84.0 -0.002658844946088396
0.0 86.0 -0.002658844946085502
0.0 88.0 -0.0026588449460874315
0.0 90.0 -0.002658844946085502
0.0 92.0 -0.002658844946089361
0.0 94.0 -0.0026588449460874315
0.0 96.0 -0.002658844946085502
0.0 98.0 -0.0026588449460874315
0.0 100.0 -0.002658844946085502
0.0 102.0 -0.0026588449460874315
0.0 104.0 -0.0026588449460845376
0.0 106.0 -0.002658844946085502
0.0 108.0 -0.002658844946088396
0.0 110.0 -0.0026588449460874315
0.0 112.0 -0.002658844946085502
0.0 114.0 -0.002658844946083573
0.0 116.0 -0.0026588449460874315
0.0 118.0 -0.002658844946088396
0.0 120.0 -0.0026588449460845376
0.0 122.0 -0.002658844946085502
0.0 124.0 -0.002658844946089361
0.0 126.0 -0.0026588449460874315
0.0 128.0 -0.0026588449460845376
0.0 130.0 -0.0026588449460845376
0.0 132.0 -0.002658844946088396
0.0 134.0 -0.0026588449460874315
0.0 136.0 -0.0026588449460874315
0.0 138.0 -0.0026588449460845376
0.0 140.0 -0.0026588449460874315
0.0 142.0 -0.002658844946085502
0.0 144.0 -0.0026588449460845376
0.0 146.0 -0.0026588449460845376
0.0 148.0 -0.0026588449460874315
0.0 150.0 -0.0026588449460874315
0.0 152.0 -0.0026588449460845376
0.0 154.0 -0.002658844946085502
0.0 156.0 -0.0026588449460874315
0.0 158.0 -0.0026588449460874315
0.0 160.0 -0.002658844946085502
0.0 162.0 -0.0026588449460845376
0.0 164.0 -0.002658844946088396
0.0 166.0 -0.002658844946085502
0.0 168.0 -0.002658844946085502
0.0 170.0 -0.002658844946085502
0.0 172.0 -0.0026588449460874315
0.0 174.0 -0.002658844946085502
0.0 176.0 -0.0026588449460845376
0.0 178.0 -0.002658844946085502
0.0 180.0 -0.002658844946089361
0.0 182.0 -0.0026588449460874315
0.0 184.0 -0.002658844946085502
0.0 186.0 -0.002658844946083573
0.0 188.0 -0.0026588449460874315
0.0 190.0 -0.0026588449460845376
0.0 192.0 -0.0026588449460845376
0.0 194.0 -0.002658844946085502
0.0 196.0 -0.0026588449460874315
0.0 198.0 -0.002658844946085502
0.0 200.0 -0.002658844946083573
0.0 202.0 -0.0026588449460845376
0.0 204.0 -0.0026588449460874315
0.0 206.0 -0.0026588449460845376
0.0 208.0 -0.002658844946085502
0.0 210.0 -0.0026588449460826086
0.0 212.0 -0.002658844946085502
0.0 214.0 -0.002658844946085502
0.0 216.0 -0.0026588449460845376
0.0 218.0 -0.002658844946085502
0.0 220.0 -0.002658844946089361
0.0 222.0 -0.002658844946085502
0.0 224.0 -0.002658844946083573
0.0 226.0 -0.0026588449460845376
0.0 228.0 -0.0026588449460874315
0.0 230.0 -0.002658844946085502
0.0 232.0 -0.0026588449460845376
0.0 234.0 -0.0026588449460845376
0.0 236.0 -0.0026588449460874315
0.0 238.0 -0.002658844946085502
0.0 240.0 -0.002658844946085502
0.0 242.0 -0.002658844946085502
0.0 244.0 -0.002658844946085502
0.0 246.0 -0.002658844946085502
0.0 248.0 -0.0026588449460845376
0.0 250.0 -0.002658844946085502
0.0 252.0 -0.002658844946089361
0.0 254.0 -0.002658844946085502
0.0 256.0 -0.0026588449460845376
0.0 258.0 -0.002658844946083573
0.0 260.0 -0.0026588449460874315
0.0 262.0 -0.0026588449460874315
0.0 264.0 -0.002658844946083573
0.0 266.0 -0.0026588449460845376
0.0 268.0 -0.0026588449460874315
0.0 270.0 -0.002658844946085502
0.0 272.0 -0.002658844946083573
0.0 274.0 -0.002658844946085502
0.0 276.0 -0.0026588449460874315
0.0 278.0 -0.002658844946085502
0.0 280.0 -0.002658844946085502
0.0 282.0 -0.002658844946083573
0.0 284.0 -0.002658844946085502
0.0 286.0 -0.002658844946085502
0.0 288.0 -0.0026588449460845376
0.0 290.0 -0.002658844946085502
0.0 292.0 -0.002658844946089361
0.0 294.0 -0.002658844946085502
0.0 296.0 -0.0026588449460845376
0.0 298.0 -0.0026588449460874315
0.0 300.0 -0.002658844946089361
0.0 302.0 -0.002658844946085502
0.0 304.0 -0.002658844946085502
0.0 306.0 -0.002658844946085502
0.0 308.0 -0.0026588449460874315
0.0 310.0 -0.0026588449460874315
0.0 312.0 -0.002658844946085502
0.0 314.0 -0.0026588449460874315
0.0 316.0 -0.0026588449460874315
0.0 318.0 -0.0026588449460874315
0.0 320.0 -0.0026588449460845376
0.0 322.0 -0.002658844946085502
0.0 324.0 -0.002658844946089361
0.0 326.0 -0.0026588449460874315
0.0 328.0 -0.0026588449460845376
0.0 330.0 -0.002658844946083573
0.0 332.0 -0.0026588449460874315
0.0 334.0 -0.0026588449460874315
0.0 336.0 -0.0026588449460845376
0.0 338.0 -0.0026588449460845376
0.0 340.0 -0.0026588449460874315
0.0 342.0 -0.0026588449460874315
0.0 344.0 -0.002658844946085502
0.0 346.0 -0.0026588449460845376
0.0 348.0 -0.0026588449460874315
0.0 350.0 -0.002658844946085502
0.0 352.0 -0.0026588449460874315
0.0 354.0 -0.0026588449460826086
0.0 356.0 -0.002658844946088396
0.0 358.0 -0.0026588449460874315
5.0 0.0 -0.9409681669142664
5.0 2.0 -0.9338476789790505
5.0 4.0 -0.9268774232414284
5.0 6.0 -0.9200784438459136
5.0 8.0 -0.9134721808801144
5.0 10.0 -0.9070803679925408
5.0 12.0 -0.9009248849387417
5.0 14.0 -0.8950275679255517
5.0 16.0 -0.8894099821545884
5.0 18.0 -0.8840931623039611
5.0 20.0 -0.8790973277940559
5.0 22.0 -0.8744415805314794
5.0 24.0 -0.8701435933996173
5.0 26.0 -0.8662192980591175
5.0 28.0 -0.8626825806432158
5.0 30.0 -0.8595449936948243
5.0 32.0 -0.8568154922175104
5.0 34.0 -0.8545002010288971
5.0 36.0 -0.8526022197454591
5.0 38.0 -0.8511214707275415
5.0 40.0 -0.8500545942095845
5.0 42.0 -0.8493948936692959
5.0 44.0 -0.8491323332865259
5.0 46.0 -0.8492535881403539
5.0 48.0 -0.8497421466222859
5.0 50.0 -0.8505784634301152
5.0 52.0 -0.8517401604752852
5.0 54.0 -0.8532022721041126
5.0 56.0 -0.8549375302166486
5.0 58.0 -0.8569166841763348
5.0 60.0 -0.8591088498475543
5.0 62.0 -0.8614818816797201
5.0 64.0 -0.8640027614769952
5.0 66.0 -0.8666379973487506
5.0 68.0 -0.8693540263225399
5.0 70.0 -0.8721176142101639
5.0 72.0 -0.8748962465388284
5.0 74.0 -0.8776585046810408
5.0 76.0 -0.8803744217270587
5.0 78.0 -0.883015813127976
5.0 80.0 -0.8855565776835267
5.0 82.0 -0.8879729650428367
5.0 84.0 -0.8902438065170958
5.0 86.0 -0.8923507066586066
5.0 88.0 -0.8942781937317879
5.0 90.0 -0.8960138278785177
5.0 92.0 -0.8975482664556935
5.0 94.0 -0.8988752866882841
5.0 96.0 -0.8999917664305392
5.0 98.0 -0.9008976244522007
5.0 100.0 -0.9015957222589254
5.0 102.0 -0.9020917300064646
5.0 104.0 -0.9023939595673749
5.0 106.0 -0.9025131682463148
5.0 108.0 -0.9024623370048386
5.0 110.0 -0.9022564273382884
5.0 112.0 -0.9019121211373903
5.0 114.0 -0.9014475479579613
5.0 116.0 -0.9008820041106951
5.0 118.0 -0.9002356678690495
5.0 120.0 -0.8995293148828358
5.0 122.0 -0.8987840375872864
5.0 124.0 -0.8980209720289862
5.0 126.0 -0.8972610351093596
5.0 128.0 -0.8965246747981512
5.0 130.0 -0.8958316354177329
5.0 132.0 -0.8952007396709962
5.0 134.0 -0.8946496887039976
5.0 136.0 -0.8941948811811627
5.0 138.0 -0.8938512521194557
5.0 140.0 -0.8936321320878706
5.0 142.0 -0.893549127329119
5.0 144.0 -0.8936120213938005
5.0 146.0 -0.8938286989772072
5.0 148.0 -0.8942050927918863
5.0 150.0 -0.8947451544658142
5.0 152.0 -0.8954508505941999
5.0 154.0 -0.8963221851582005
5.0 156.0 -0.8973572495241627
5.0 158.0 -0.8985523011233553
5.0 160.0 -0.8999018716627603
5.0 162.0 -0.901398905318032
5.0 164.0 -0.9030349268068383
5.0 166.0 -0.9048002385403358
5.0 168.0 -0.906684145221734
5.0 170.0 -0.9086752033305924
5.0 172.0 -0.9107614919396025
5.0 174.0 -0.9129309003012349
5.0 176.0 -0.9151714266676478
5.0 178.0 -0.9174714819219715
5.0 180.0 -0.9198201908573902
5.0 182.0 -0.922207683392581
5.0 184.0 -0.9246253677033538
5.0 186.0 -0.927066177215178
5.0 188.0 -0.9295247836641531
5.0 190.0 -0.9319977690039961
5.0 192.0 -0.9344837498097053
5.0 194.0 -0.936983448983752
5.0 196.0 -0.9394997109744817
5.0 198.0 -0.942037458319466
5.0 200.0 -0.944603589071503
5.0 202.0 -0.9472068164828552
5.0 204.0 -0.9498574541437401
5.0 206.0 -0.9525671515189321
5.0 208.0 -0.9553485864321412
